Row;Strongylocentrotus_purpuratus;Homarus_americanus;Lingula_unguis;Octopus_vulgaris;Lottia_gigantea;Elysia_chlorotica;Pomacea_canaliculata;Potamilus_streckersoni;Magallana_gigas;Crassostrea_virginica;Pinctada_imbricata;Mytilus_edulis;Mizuhopecten_yessoensis;Dreissena_polymorpha;Leukoma_staminea
T1_TRINITY_DN22150_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN22625_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN227003_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN22750_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN23111_c0_g1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN2329_c13_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN24182_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN2480_c2_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN25737_c11_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN2587_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN25938_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN27105_c0_g6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN2711_c19_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN28538_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3041_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3055_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3057_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN30592_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3073_c4_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T1_TRINITY_DN30739_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3078_c2_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN31304_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3357_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3389_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN340_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN35_c19_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3546_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3641_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN366_c6_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN37371_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN3768_c12_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN39721_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN402894_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN40838_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN4568_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN4712_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN478_c35_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN47857_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN508_c11_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN50816_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN51859_c2_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN51871_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN52151_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN53518_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN5378_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN54004_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN54342_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN55058_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN56_c6_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN56164_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN5711_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN5831_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN58987_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T1_TRINITY_DN596_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN59933_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN60758_c0_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN60941_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN61003_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T1_TRINITY_DN61095_c0_g1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1
T1_TRINITY_DN61405_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN6433_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN65510_c2_g1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;1
T1_TRINITY_DN6655_c17_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN66868_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN6840_c11_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN70841_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN71350_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN73354_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN73433_c3_g3;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN7364_c29_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN75490_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN7732_c8_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN77524_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN79096_c0_g4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN85037_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN85106_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN8668_c5_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN86811_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN87848_c0_g2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
T1_TRINITY_DN88725_c0_g1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
T1_TRINITY_DN89801_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN89844_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN9026_c5_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN935_c8_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN9720_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN97506_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN10355_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN10529_c1_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN106714_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN106976_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN107146_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN108653_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN108665_c0_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN1094_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN110429_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN117335_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN12135_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN122391_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN123404_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN127776_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN12951_c9_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN12954_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN131558_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN13329_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN133744_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN135074_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN13766_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN1396_c4_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN13977_c0_g1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1
T2_TRINITY_DN14001_c1_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN14014_c5_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN141067_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN14328_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN143394_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN1434_c6_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN144766_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN147600_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN148010_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN14818_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN148869_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN148935_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T2_TRINITY_DN150854_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN151032_c1_g1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
T2_TRINITY_DN154691_c0_g1;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1
T2_TRINITY_DN157482_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN1591_c63_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN160389_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN16261_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN163203_c0_g2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN166408_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN170076_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN1729_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN178015_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN179083_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN182972_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN1846_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN19312_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN197653_c0_g1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1
T2_TRINITY_DN20409_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN206792_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN207_c21_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN2087_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN2099_c12_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN212423_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN2149_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN21581_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN229360_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN23509_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN2351_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN24086_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN24361_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN25330_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN260_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN261878_c0_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN263092_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN284770_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN28639_c0_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN29096_c1_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN2954_c3_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN2957_c10_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN31744_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN32298_c12_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN32564_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN33463_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN33558_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN3367_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN338_c5_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN3390_c2_g4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN33977_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN33993_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN34062_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN35141_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN35425_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN354475_c1_g1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN3638_c18_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN3666_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN36706_c10_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN37897_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN3833_c0_g1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
T2_TRINITY_DN38499_c0_g4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN3861_c0_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T2_TRINITY_DN3861_c16_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN39228_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN40191_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN40270_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN42481_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN43048_c0_g1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1
T2_TRINITY_DN4326_c0_g1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
T2_TRINITY_DN43547_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN4376_c28_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN44959_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN47101_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN48204_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN4948_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN51568_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T2_TRINITY_DN5183_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5190_c9_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5277_c22_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5380_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN541_c3_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN5483_c11_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5483_c3_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN55199_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5560_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN55703_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T2_TRINITY_DN55983_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5615_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN56795_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN57769_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN5967_c5_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN59884_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN6087_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN6213_c7_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN63424_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN64180_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN66316_c0_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T2_TRINITY_DN66553_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN6806_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN69060_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN7164_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T2_TRINITY_DN72698_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
